template_section,icasa_dataset,icasa_subset,icasa_group,icasa_subgroup,icasa_header_long,icasa_header_short,icasa_description,icasa_unit,icasa_type,icasa_minval,icasa_maxval,dataModel,section,header,header_long,DQ_mindat,description,unit,code_mappings,fun_header,fun_header_args,fun_values,fun_values_args,comments
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_mod_code_daylen,ECDYL,"Environmental modific.code, daylength",code,text,,,dssat,ENVIRONMENT_MODIFICATIONS,EDAY,,0,"Daylength adjustment, A,S,M,R+vpm, (Add, Subtract, Multiply, Replace)",code,1,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_mod_code_dewpt,ECDEW,"Environmental modific.code, dewpoint",code,text,,,dssat,ENVIRONMENT_MODIFICATIONS,EDEW,,0,"Humidity adjustment, A,S,M,R+degrees_C, (Add, Subtract, Multiply, Replace)",code,1,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_mod_code_radiat,ECRAD,"Environmental modific.code, radiation",code,text,,,dssat,ENVIRONMENT_MODIFICATIONS,ERAD,,0,"Radn adjustment, A,S,M,R+MJ/m2/d, (Add, Subtract, Multiply, Replace)",code,1,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_mod_code_tmax,ECMAX,"Environmental modific.code, maximum temperature",code,text,,,dssat,ENVIRONMENT_MODIFICATIONS,EMAX,,0,"Temp (max) adjustment, A,S,M,R+degrees_C, (Add, Subtract, Multiply, Replace)",code,1,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_mod_code_tmin,ECMIN,"Environmental modific.code, minimum temperature",code,text,,,dssat,ENVIRONMENT_MODIFICATIONS,EMIN,,0,"Temp (min) adjustment, A,S,M,R+degrees_C, (Add, Subtract, Multiply, Replace)",code,1,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_CO2,EMCO2,"Environmental modification, CO2",ppm,single,,,dssat,ENVIRONMENT_MODIFICATIONS,ECO2,,0,"CO2 adjustment, A,S,M,R+vpm, (Add, Subtract, Multiply, Replace)",ppm,,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_code_CO2,ECCO2,"Environmental modific.code, CO2",code,text,,,dssat,ENVIRONMENT_MODIFICATIONS,ECO2,,0,"CO2 adjustment, A,S,M,R+vpm, (Add, Subtract, Multiply, Replace)",code,1,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_code_rain,ECRAI,"Environmental modific.code, rain",code,text,,,dssat,ENVIRONMENT_MODIFICATIONS,ERAIN,,0,"Precipitation adjustment, A,S,M,R+mm, (Add, Subtract, Multiply, Replace)",code,1,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_code_wind,ECWND,"Environmental modific.code, wind",code,text,,,dssat,ENVIRONMENT_MODIFICATIONS,EWIND,,0,"Wind adjustment, A,S,M,R+km/d, (Add, Subtract, Multiply, Replace)",code,1,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_daylen,EMDYL,"Environmental modification, daylength",h,single,0,,dssat,ENVIRONMENT_MODIFICATIONS,EDAY,,0,"Daylength adjustment, A,S,M,R+vpm, (Add, Subtract, Multiply, Replace)",h,,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_dew_pt,EMDEW,"Environmental modification, dewpoint",degree_C,single,,,dssat,ENVIRONMENT_MODIFICATIONS,EDEW,,0,"Humidity adjustment, A,S,M,R+degrees_C, (Add, Subtract, Multiply, Replace)",degree_C,,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_max_temp,EMMAX,"Environmental modification, maximum temperature",degree_C,single,,,dssat,ENVIRONMENT_MODIFICATIONS,EMAX,,0,"Temp (max) adjustment, A,S,M,R+degrees_C, (Add, Subtract, Multiply, Replace)",degree_C,,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_min_temp,EMMIN,"Environmental modification, minimum temperature",degree_C,single,,,dssat,ENVIRONMENT_MODIFICATIONS,EMIN,,0,"Temp (min) adjustment, A,S,M,R+degrees_C, (Add, Subtract, Multiply, Replace)",degree_C,,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_rain,EMRAI,"Environmental modification,rain",mm,single,,,dssat,ENVIRONMENT_MODIFICATIONS,ERAIN,,0,"Precipitation adjustment, A,S,M,R+mm, (Add, Subtract, Multiply, Replace)",mm,,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_solar_rad,EMRAD,"Environmental modification,radiation",MJ/(m2.d),single,,,dssat,ENVIRONMENT_MODIFICATIONS,ERAD,,0,"Radn adjustment, A,S,M,R+MJ/m2/d, (Add, Subtract, Multiply, Replace)",MJ/(m2.d),,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modif_wind,EMWND,"Environmental modification,wind",km/d,single,,,dssat,ENVIRONMENT_MODIFICATIONS,EWIND,,0,"Wind adjustment, A,S,M,R+km/d, (Add, Subtract, Multiply, Replace)",km/d,,,,,,Concatenated
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modificat_date,EMDATE,Environmental modifications date,date,date,,,dssat,ENVIRONMENT_MODIFICATIONS,ODATE,,0,Environmental modification date,date,,,,,,
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environmental_modif_lev,EM,"Environmental modifications level, links to EM table",1,single,,,dssat,ENVIRONMENT_MODIFICATIONS,E,,0,Environmental modifications level,1,,,,,,
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modificat_day,EMDAY,Environmental modifications date,doy,single,1,366,,,,,,,,,,,,,
ENVIRON_MODIF_LEVELS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,ENVIRON_MODIF_LEVELS,environ_modificat_year,EMYR,Environmental modifications year,date,single,,,,,,,,,,,,,,,
ENVIRON_MODIFICATIONS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,,environ_modif_name,EM_NAME,Environmental modifications level name,text,text,,,dssat,ENVIRONMENT_MODIFICATIONS,ENVNAME,,0,Environment modifications level name,text,,,,,,
ENVIRON_MODIFICATIONS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,,environmental_modif_lev,EM,Environmental modifications level,1,single,,,dssat,ENVIRONMENT_MODIFICATIONS,E,,0,Environmental modifications level,1,,,,,,
ENVIRON_MODIFICATIONS,EXPERIMENT,MANAGEMENT,ENVIRON_MODIFICATIONS,,environ_comments,EM_NOTES,"Environmental modifications, extended comments",,memo,,,,,,,,,,,,,,,
EVENT_SPECIFICATION,EXPERIMENT,MANAGEMENT,EVENT_SPECIFICATION,,mgmt_event_date,EVDATE,Management operations event date,date,date,,,,,,,2,,,,,,,,
EVENT_SPECIFICATION,EXPERIMENT,MANAGEMENT,EVENT_SPECIFICATION,,mgmt_event_notes,EV_NOTES,Management operations event notes,,text,,,,,,,,,,,,,,,
EVENT_SPECIFICATION,EXPERIMENT,MANAGEMENT,EVENT_SPECIFICATION,,mgmt_operations_event,MGMT_EVENT,Management operations event type,,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,name_of_experiment,EXNAME,Name of experiment,text,text,1,,dssat,GENERAL,EXP_NAME,,0,,text,,,,,,Not unique attribute in DSSAT list; component of experiment name (file X title)
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,site_name,SITE_NAME,Name of site for experiment,text,text,,,dssat,GENERAL,SITE,,0,Name and location of experimental site(s),text,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,experiment_ID,EID,Experiment identifier,,single,,,dssat,GENERAL,EXP_ID,,0,,text,,,,,,Not unique attribute in DSSAT list; component of experiment name / file name
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,ex_license,ex_license,Data license name and url,,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,method_notes,METHODS,General notes on execution of experiment.,,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,anonymization,ANONYMIZ,"Indication of whether location should be anonymized (N= anonymize names, L = anonymize locations, NL or LN = anonymize both names and location)",,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,cropping_system,CR_SYSTEM,Cropping system descriptive name,,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,distrib_restrictions,EX_DISTRIB,Distribution limitations for the data set,,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,ex_funding_source,ex_funding_source,Funding source(s) for this data set,,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,exp_code_local,LOCAL_ID,Locally used ID for experiment,,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,exper_duration_seasons,EXP_DUR_SEAS,Duration of experiment in seasons,1,single,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,experiment_duration,EXP_DUR,Duration of experiment in years,date,single,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,experiment_name_local,LOCAL_NAME,Locally used name for experiment,,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,experiment_narrative,EXP_NARR,"General description of experiment. Can include noteworthy events, findings, etc.",,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,experiment_type,EXPER_TYPE,"General type of experiment, e.g., varietal trial",,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,experiment_year,EXP_YEAR,Year associated with experiment or crop rotation,date,date,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,experimental_factor_comb,FACTORS,Experimental factor combinations,,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,file_version,VERSION,File version for ICASA standard,,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,main_experiment_factor,MAIN_FACTOR,"Main factor, factors or interactions of interest in an experiment",,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,management_type,MGMT_TYPE,"Whether managed by researchers, producers",,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,number_of_replicates,REP_NO,Number of blocks or replicates,1,number,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,number_of_treatments,TRT_COUNT,Number of treatments,1,number,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,objectives_of_study,OBJECTIVES,Objectives of the study,,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,revision_date_first,REV_DATE_FIRST,Date the file was first created,date,date,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,revision_date_latest,REV_DATE_LATEST,Date the file was last revised,date,date,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,revision_notes,REVISION_NOTES,Notes describing reasons for the revision,,memo,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,rotation,ROTATION,"Crop rotation indicator (=1 for continuous, multi-year simulation, =0 for single year simulations with multiple initializations)",,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,GENERAL,,site_type,SITE_TYPE,"Type of site, e.g., station, on-farm",,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,NOTES,,complications,CMPLC,Complications arising during experiment,,text,,,,,,,,,,,,,,,
EXP_METADATA,EXPERIMENT,METADATA,NOTES,,constraints,CNSTR,Constraints known to affect crop performance,,text,,,,,,,,,,,,,,,
EXP_METADATA,,,,,experimental_design,EXPER_DESIGN,Experimental design,,memo,,,,,,,,,,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,application_depth_fert,FEDEP,Fertilizer application depth,cm,single,0,,dssat,FERTILIZERS,FDEP,,2,Fertilizer incorporation/application depth,cm,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,fertiliz_code_other_elem,FEOCD,Fertilizer code for other elements,code,text,,,dssat,FERTILIZERS,FOCD,,0,"Other element code, e,g,, MG",code,"list('B: 1', 'Fe: FE', 'Mg: MG', 'S: 1', 'Zn: ZN')",,,,,Include elements with var in ICASA but not in DSSAT
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,other_elements_appl_fert,FEAMO,Other elements in applied fertilizer,kg/ha,single,0,,dssat,FERTILIZERS,FAMO,,0,Other elements in applied fertilizer,kg/ha,,,,,,Include elements with var in ICASA but not in DSSAT
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,fertilizer_applic_method,FEACD,Fertilizer application method,code,text,,,dssat,FERTILIZERS,FACD,,2,Fertilizer application/placement,code,"list('c(AP001, AP002, AP003, AP004, AP005, AP006, AP007, AP008, AP009, AP011, AP012, AP013, AP014, AP015, AP016, AP017, AP018, AP019, AP020): 1')",,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,Ca_in_applied_fertilizer,FEAMC,Calcium (elemental) in applied fertilizer,kg/ha,single,0,,dssat,FERTILIZERS,FAMC,,0,Ca in applied fertilizer,kg/ha,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,fertilizer_K_applied,FEAMK,Potassium (elemental) in applied fertilizer,kg/ha,single,0,,dssat,FERTILIZERS,FAMK,,0,K in applied fertilizer,kg/ha,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,N_in_applied_fertilizer,FEAMN,Nitrogen (elemental) in applied fertilizer,kg/ha,single,0,,dssat,FERTILIZERS,FAMN,,2,N in applied fertilizer,kg/ha,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,phosphorus_applied_fert,FEAMP,Phosphorus (elemental) in applied fertilizer,kg/ha,single,0,,dssat,FERTILIZERS,FAMP,,0,P in applied fertilizer,kg/ha,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,fertilizer_material,FECD,Fertilizer material,code,text,,,dssat,FERTILIZERS,FMCD,,2,Fertilizer material,code,1,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,fertilization_date,FEDATE,Fertilization date,date,date,,,dssat,FERTILIZERS,FDATE,,2,"Fertilization date, year + day or days from planting",date,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,B_in_applied_fertilizer,FEAMB,Boron (elemental) in applied fertilizer,kg/ha,single,0,,,,,,,,,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,Fe_in_applied_fertilizer,FEAMFE,Iron (elemental) in applied fertilizer,kg/ha,single,0,,,,,,,,,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,fertiliz_app_name,FECD_NAME,Name or notes for this fertilizer application,,text,,,,,,,,,,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,fertilizer_applic_day,FEDAY,Fertilizer application day,doy,single,1,366,,,,,,,,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,fertilizer_applic_year,FEYR,Fertilizer application year,date,single,,,,,,,,,,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,Mn_in_applied_fertilizer,FEAMMN,Manganese (elemental) in applied fertilizer,kg/ha,single,0,,,,,,,,,,,,,,
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,NH4_applied_fertilizer,FENH4,"Ammonium in applied fertilizer, as elemental N",kg/ha,single,0,,,,,,2,,,,,,,,why DSSAT score = 2 while not in DSSAT?
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,NO3_applied_fertilizer,FENO3,"Nitrate in applied fertilizer, as elemental N",kg/ha,single,0,,,,,,2,,,,,,,,why DSSAT score = 2 while not in DSSAT?
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,Urea_applied_fertilizer,FEUREA,"Urea in applied fertilizer, as elemental N",kg/ha,single,0,,,,,,2,,,,,,,,why DSSAT score = 2 while not in DSSAT?
FERTILIZER_APPLICS,EXPERIMENT,MANAGEMENT,FERTILIZERS,FERTILIZER_APPLICS,Zn_in_applied_fertilizer,FEAMZ,Zinc (elemental) in applied fertilizer,kg/ha,single,0,,,,,,,,,,,,,,
